Sample_ID,K_treatment.x,K_type.x,K_treatment_ENG.x,P_fungi,P_bacteria,P_PMN,P_HWC,P_ergosterol.old,P_CN.product,P_resp.product,P_N.t,P_C.N,P_N.a,P_P.a,P_P.t,P_K.a,P_K.t,P_S.t,P_S.a,P_Mg.t,P_Na.t,P_B.t,P_Cu.a,P_Mn.t,P_Co.a,P_Zn.a,P_pH,P_CaCO3,P_OM,P_CEC,P_Se.a,P_Ca.a,P_Ca.t,P_silt,P_sand,P_silica,P_Mo.a,P_ergosterol,Y_rs.dis
16S.2016.E12.S30,fase3eind,manure-chitin,Mushroom_compost,131.1,20.2,44.9,1174,15.76714711,13.5,35.4,1620,17,62,5,61,374,3.9,400,18,187,55,251,45,1870,5.4,1300,5.9,0.2,4.8,77,8.5,827,3860,6,89,4280,4,,5
16S.2017.E12.S30,haar/hoefmeel,keratin,Hair_meal,9.2,14.1,41.2,709,,3.4,24.4,1390,18,50,1.3,43,58,1.9,290,11,160,8,94,21,450,2.6,1000,5.4,0.2,4.4,46,2.1,393,2355,14,82,3020,4,,10
16S.2016.F01.S31,Keratinemengsel,keratin,Keratin_mix,19.5,31,51.5,334,2.153399069,3.2,26.6,620,17,26,2.7,26,37,1,250,17,25,6,76,37,250,2.6,200,7,1.1,1.8,53,2.1,544,3600,6,91,6640,4,,4
16S.2017.F01.S31,CaNO3,control,Control+N,9.4,4.9,4.4,379,,,,680,12,40,1.7,38,15,1.1,260,20,19,6,122,21,250,2.6,100,7.2,5,1.4,48,2.1,291,3270,6,87,8150,4,,17
16S.2016.F02.S32,Keratinemengsel,keratin,Keratin_mix,21.6,10.1,10,339,3.750929323,3.2,26.6,920,13,48,2.4,26,39,1.4,440,35,27,7,76,41,250,2.6,180,7,0.7,2,54,2.1,626,3415,2,95,7200,4,,2
16S.2017.F02.S32,KeraproChamplus,keratin,Kerapro_slow_release,10.9,9.4,28.6,521,,3.6,23.1,730,11,46,1.6,36,18,1.2,310,25,20,5,76,63,320,2.6,100,7.2,4.9,1.4,45,2.1,203,3050,7,86,8210,4,,9
16S.2016.F03.S33,Keratinemengsel,keratin,Keratin_mix,26.1,26,52,449,2.526406839,3.2,26.6,680,15,34,2.3,25,38,1.5,220,15,30,8,89,38,250,2.6,180,7,0.5,1.8,50,2.1,286,3280,4,94,7140,4,,18
16S.2017.F03.S33,Keratinemengsel,keratin,Keratin_mix,10.2,10,22.3,429,,3.3,27.5,660,12,40,1.5,36,20,1.1,300,24,18,6,76,100,460,2.6,100,7.2,4.6,1.4,42,2.1,29,2835,7,87,9040,4,,6
16S.2016.F04.S34,Keratinemengsel,keratin,Keratin_mix,19.7,15,16.8,466,4.253678806,3.2,26.6,780,14,40,2.2,26,37,1.3,320,24,26,7,80,36,250,2.6,170,7,0.8,1.9,56,2.1,514,3725,4,93,7020,4,,5
16S.2017.F04.S34,groencompost,plant,Compost-2,8.2,13.6,2.4,440,,16.6,3.7,910,12,53,2.5,42,108,1.4,250,17,37,19,143,24,250,2.6,100,7,5.3,1.9,52,2.1,114,2995,2,91,8700,4,,13
