Feature_ID,ASV,Taxon,Confidence
09eee5a69aecfd322ff44fbeeb8b0c3c,ASV56,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unidentified;g__unidentified;s__unidentified,0.86364358
0a52f6b37ca625dde9496fce04c69546,ASV57,k__Fungi,0.780044841
0a6e6e25284a8677ff6d5456831b1bf7,ASV58,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Iodophanus;s__unidentified,0.99917684
0a7ffb78d767dba17c0e4a59d8508059,ASV59,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified,0.996165133
0a98af92a02b5a86adb2e5f3799a158d,ASV60,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria;s__Ilyonectria_mors-panacis,0.991779599
0af9a2db4633c827da57352a0f8fa677,ASV61,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified,0.988830194
0afe4c60b9aebf2060dc374b6fe9d12f,ASV62,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__unidentified;s__unidentified,0.980132902
0b379fa6a784ef129cf921cbabc37a54,ASV63,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Rhexocercosporidium;s__Rhexocercosporidium_panacis,0.813028039
0b4a6bd1eda4493fe0a41d9f98df89a5,ASV64,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Pochonia;s__unidentified,0.988964394
0b4ad22563553fc86df74a9039f1c968,ASV65,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Tothia;s__Tothia_fuscella,0.954199721
0b65e49b4d886e1a950e79c16db52365,ASV66,k__Fungi,0.81058896
0b939f525036e43634632371dd3e71b2,ASV67,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Podospora;s__unidentified,0.912030086
0bce47dae1534334182949237938903b,ASV68,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala_opportunistica,0.785172691
0c0108fdba212d0c880a9dd0c6c72eee,ASV69,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Waitea;s__unidentified,0.999781398
0c7eb1f4898a2a89a11e84fc433b18da,ASV70,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified,0.966807084
0c8cde3b3ad386cffa610979dfef6d9f,ASV71,k__Fungi,0.720317683
0d4bd633c710cbb7b36750578c3e2d7a,ASV72,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Neosetophoma;s__unidentified,0.914579371
0d6480767e7f5ed594ce3c2706e7ef9d,ASV73,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Peziza;s__Peziza_varia,0.940585347
0d86040d9bbb8a97a11a0e99b2f1c642,ASV74,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales,0.977009302
0dc65fc9a4e362a68736cfdb5b0bcedc,ASV75,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified,0.940332302
0df7536c14d80c71dd4bc88f636f1f03,ASV76,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae,0.999921518
0e0dbaf29fd4c4ea43610d5157b91d59,ASV77,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella;s__Gibberella_tricincta,0.99998196
0e2b550aeed022181efa5d15473d553a,ASV78,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Cistella;s__unidentified,0.901258658
0e95447a54e4c898103e314ecf20938e,ASV79,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified,0.846164434
0e96642fd71def2fa9da2183ac12638f,ASV80,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified,0.974567088
0f0ebd59c66740d60b65ee3c373c59f0,ASV81,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__unidentified,0.999995498
0f2ac65adaae1a83665f60efcf8192ea,ASV82,k__Fungi;p__Olpidiomycota;c__Olpidiomycetes;o__Olpidiales;f__Olpidiaceae;g__Olpidium;s__Olpidium_brassicae,0.88639609
0f53839b29b8cf548bc1a9dc202c08e6,ASV83,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium,0.999860584
0f8edde2e36af5a9c6a2d31e86861954,ASV84,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__Pseudeurotium,0.809039171
0fd3fc2e521d02c6f871d5835d984c7a,ASV85,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__unidentified,0.899208911
0fdcaa5558a75473963c2203cfad6ae2,ASV86,k__Fungi;p__Aphelidiomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified,0.908682278
1000312c9e4d3ccf3ccf2d2e0a0f28aa,ASV87,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified,0.728819839
1016bced8bbdbd83bb7c2af70323f189,ASV88,k__Fungi;p__Chytridiomycota;c__Lobulomycetes;o__Lobulomycetales;f__Lobulomycetaceae;g__Clydaea;s__Clydaea_vesicula,0.974785056
101b3b81aeee7d167c705d25a1eebc51,ASV89,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales,0.99711557
101d8ec10bebb9b1edf33398cb584a55,ASV90,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_domesticum,0.999862232
1020c4f636f31d384437243d91bcccc3,ASV91,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis;o__GS10;f__unidentified;g__unidentified;s__unidentified,1
1064bbc356a74e0e7bf82fdd3ab0b9a5,ASV92,k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae;g__Mucor;s__Mucor_circinelloides,0.999949417
109039eba03c8ac7a581876e6322cf51,ASV93,k__Fungi,0.999971668
10a2b7116e81e30e37500b414299095a,ASV94,k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae,1
10b4ec85b0fd96ce617990e4c9917329,ASV95,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified,0.893274008
10c01f2b65d81c5eb386c958cc9b7496,ASV96,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Sympoventuriaceae,0.95884659
10d68364faa94b8fc5383b54c4c390a5,ASV97,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae,0.999944427
110d8b385b6e7ad8647cb07c286396a0,ASV98,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Ophiosphaerella;s__unidentified,0.995365946
11522e1f40f787b0294340b2ce2b6521,ASV99,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales,0.99994413
11588b5d6757d2f142dd0cfb206be573,ASV100,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Podospora;s__unidentified,0.930464923
116f4456b9b550778e8a7c4d4c1ff7bb,ASV101,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leptodontidium;s__unidentified,0.999991551
