Feature_ID,Taxon,Confidence
OTU145,D_0__Fungi;D_6__ ,1.0
OTU146,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Xylariales;D_4__Microdochiaceae;D_5__Microdochium;D_6__ ,1.0
OTU147,D_0__Fungi;D_1__Mortierellomycota;D_2__Mortierellomycetes;D_3__Mortierellales;D_4__Mortierellaceae;D_5__Mortierella;D_6__Mortierella oligospora,1.0
OTU148,D_0__Fungi;D_1__Ascomycota;D_2__Dothideomycetes;D_3__Pleosporales;D_4__Didymellaceae,1.0
OTU149,D_0__Fungi;D_1__Mucoromycota;D_2__Mucoromycetes;D_3__Mucorales;D_4__Mucoraceae;D_5__Mucor;D_6__Mucor circinelloides,1.0
OTU150,D_0__Fungi;D_1__Ascomycota;D_2__Pezizomycetes;D_3__Pezizales;D_4__Pezizaceae;D_6__ ,1.0
OTU151,D_0__Fungi;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Filobasidiales;D_4__Piskurozymaceae;D_5__Solicoccozyma;D_6__ ,1.0
OTU152,D_0__Fungi;D_1__Mucoromycota;D_2__Mucoromycetes;D_3__Mucorales;D_4__Mucoraceae;D_5__Mucor;D_6__Mucor circinelloides,1.0
OTU153,D_0__Fungi;D_1__Ascomycota;D_2__Eurotiomycetes;D_3__Eurotiales;D_4__Trichocomaceae;D_5__Talaromyces;D_6__ ,1.0
OTU154,D_0__Fungi;D_1__Basidiomycota;D_2__Agaricomycetes;D_6__ ,1.0
OTU155,D_0__Fungi;D_1__Basidiomycota;D_2__Exobasidiomycetes;D_3__Entylomatales;D_4__Incertae sedis;D_5__Tilletiopsis;D_6__Tilletiopsis washingtonensis,1.0
OTU156,D_0__Fungi;D_6__ ,1.0
OTU157,D_0__Fungi;D_1__Chytridiomycota;D_2__Spizellomycetes;D_3__Spizellomycetales;D_4__Spizellomycetaceae;D_5__Spizellomyces;D_6__Spizellomyces pseudodichotomus,1.0
OTU158,D_0__Fungi;D_1__Ascomycota;D_2__Leotiomycetes;D_3__Helotiales;D_4__Helotiaceae;D_6__ ,1.0
OTU159,D_0__Fungi;D_1__Mucoromycota;D_2__Mucoromycetes;D_3__Mucorales;D_4__Mucoraceae;D_5__Mucor;D_6__Mucor circinelloides,1.0
OTU160,D_0__Fungi;D_6__ ,1.0
OTU161,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Glomerellales;D_4__Glomerellaceae;D_5__Colletotrichum;D_6__ ,1.0
OTU162,D_0__Fungi;D_6__ ,1.0
OTU163,D_0__Fungi;D_6__ ,1.0
OTU164,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Hypocreales;D_4__Nectriaceae;D_5__Fusarium;D_6__ ,1.0
OTU165,D_0__Fungi;D_6__ ,1.0
OTU166,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_6__ ,1.0
OTU167,D_0__Fungi;D_6__ ,1.0
OTU168,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Hypocreales;D_4__Hypocreaceae;D_5__Trichoderma;D_6__ ,1.0
OTU169,D_0__Fungi;D_6__ ,1.0
OTU170,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Hypocreales;D_4__Nectriaceae;D_5__Fusarium;D_6__ ,1.0
OTU171,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_4__Chaetomiaceae;D_5__Zopfiella;D_6__ ,1.0
OTU172,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Glomerellales;D_4__Plectosphaerellaceae;D_5__Plectosphaerella;D_6__Plectosphaerella cucumerina,1.0
OTU173,D_0__Fungi;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Trichosporonales;D_4__Trichosporonaceae;D_6__ ,1.0
OTU174,D_0__Fungi;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Tremellales;D_4__Trimorphomycetaceae;D_5__Saitozyma;D_6__Saitozyma podzolica,1.0
OTU175,D_0__Fungi;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Tremellales;D_4__Bulleribasidiaceae;D_5__Vishniacozyma;D_6__Vishniacozyma victoriae,1.0
OTU176,D_0__Fungi;D_1__Ascomycota;D_2__Leotiomycetes;D_3__Helotiales;D_6__ ,1.0
OTU177,D_0__Fungi;D_1__Ascomycota;D_2__Dothideomycetes;D_3__Pleosporales;D_6__ ,1.0
OTU178,D_0__Fungi;D_1__Basidiomycota;D_6__ ,1.0
OTU179,D_0__Fungi;D_1__Ascomycota;D_2__Eurotiomycetes;D_3__Chaetothyriales;D_4__Herpotrichiellaceae;D_5__Cladophialophora;D_6__ ,1.0
OTU180,D_0__Fungi;D_1__Ascomycota;D_2__Eurotiomycetes;D_3__Chaetothyriales;D_4__Herpotrichiellaceae;D_5__Exophiala;D_6__ ,1.0
OTU181,D_0__Fungi;D_1__Ascomycota;D_6__ ,1.0
OTU182,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Hypocreales;D_4__Hypocreaceae;D_5__Trichoderma;D_6__ ,1.0
OTU183,D_0__Fungi;D_6__ ,1.0
OTU184,D_0__Fungi;D_1__Ascomycota;D_2__Dothideomycetes;D_3__Pleosporales;D_4__Pleosporaceae;D_6__ ,1.0
OTU185,D_0__Fungi;D_1__Mucoromycota;D_2__Mucoromycetes;D_3__Mucorales;D_4__Mucoraceae;D_5__Mucor;D_6__Mucor hiemalis,1.0
OTU186,D_0__Fungi;D_1__Ascomycota;D_2__Leotiomycetes;D_3__Thelebolales;D_4__Pseudeurotiaceae;D_5__Pseudeurotium;D_6__ ,1.0
OTU187,D_0__Fungi;D_6__ ,1.0
OTU188,D_0__Fungi;D_1__Ascomycota;D_2__Dothideomycetes;D_3__Pleosporales;D_4__Sporormiaceae;D_5__Westerdykella;D_6__ ,1.0
OTU189,D_0__Fungi;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Filobasidiales;D_4__Piskurozymaceae;D_5__Solicoccozyma;D_6__Solicoccozyma aeria,1.0
OTU190,D_0__Fungi;D_6__ ,1.0
OTU191,D_0__Fungi;D_1__Mortierellomycota;D_2__Mortierellomycetes;D_3__Mortierellales;D_4__Mortierellaceae;D_5__Mortierella;D_6__Mortierella sarnyensis,1.0
OTU192,D_0__Fungi;D_6__ ,1.0
OTU193,D_0__Fungi;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Tremellales;D_6__ ,1.0
OTU194,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_4__Lasiosphaeriaceae;D_5__Cladorrhinum;D_6__Cladorrhinum bulbillosum,1.0
OTU195,D_0__Fungi;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Cystofilobasidiales;D_4__Mrakiaceae;D_5__Tausonia;D_6__Tausonia pullulans,1.0
